順位,ネーム,チャンネルネーム,所属グループ,登録者数,再生回数
1595,ノリシャイちゃんねる,,,"3,180","45,294"
1596,おーかみおーこく,,,"3,170","84,157"
1597,代官山kanonの活動記録,,,"3,160","192,760"
1598,きりみんちゃん ねる,,,"3,160","186,716"
1599,天ノ川リサ,天ノ川リサ[勇者ズム!],勇者ズム！,"3,160","90,334"
1600,ぴぴぴのぶきみch,,,"3,140","904,701"
1601,【vtuber】えがきぐりこちゃんねる,,,"3,140","48,518"
1602,ブラピの実況部屋,,,"3,140","24,876"
1603,KeiTube,,,"3,130","115,121"
1604,吾味人美,,,"3,130","107,409"
1605,眠河ゆめな,眠河ゆめな,空想コード+,"3,130","30,414"
1606,ちろるかみおか,,,"3,130","28,520"
1607,Marino ASMR,,,"3,120","144,426"
1608,センディーのねこプロ!,,UUUM,"3,110","1,087,438"
1609,Rおじちゃん,,,"3,110","432,024"
1610,漆黒のれゔぃあたんchannel,,,"3,110","55,760"
1611,家庭用ロボアイゼン,,,"3,110","45,213"
1612,式神双子の式神屋チャンネル,,,"3,100","1,716,564"
1613,ロザリンちゃんねるっ!,,,"3,090","137,376"
1614,そらのももか,,,"3,090","89,254"
1615,魔野るしあ,,,"3,090","40,212"
1616,のらきゃっとClassics,,,"3,090","30,381"
1617,駒米トオル/こめお,,,"3,080","487,117"
1618,DJ NOZAX,,,"3,080","365,308"
1619,びっくりちゃん,,,"3,080","159,046"
1620,桐野そるべ,,,"3,070","224,750"
1621,Purple Heart,,,"3,060","147,940"
1622,ちょこまかちゃんねる- Choco Maca Channel -,,,"3,060","65,838"
1623,しろん・フラットパディちゃんねる,,,"3,050","71,404"
1624,オトギリル,,WACTOR,"3,050","52,499"
1625,Maid Mint Ch. ミント・ファントーム,,,"3,050","32,847"
1626,BB&パピヨン ch,,,"3,040","502,567"
1627,言霊少女プロジェクト,言霊少女プロジェクト【公式】,,"3,040","327,089"
1628,三日月ネコ,,,"3,040","115,178"
1629,マシロユユ,,,"3,040","58,504"
1630,USAMI BUNNY,,,"3,030","54,323"
1631,にゅーい【nyu-i】,,,"3,030","27,459"
1632,一二三堂日記,,,"3,021","108,672"
1633,ルイスちゃんねる Ruiz Channel,,,"3,020","68,904"
1634,ゆうたそ,,,"3,010","614,540"
1635,アルカナ,アルカナARCANA Channel,upd8,"3,010","182,516"
1636,天野ヒカリ,天野ヒカリ【VTuber】,OPEN BETA,"3,010","54,132"
1637,白虎えま,,,"3,000","77,657"
1638,ノルちゃんねる,,,"3,000","53,920"
1639,SHARPNELSOUND,,,"2,990","158,104"
1640,姫鶴紗雪,さゆきチャンネル,,"2,990","132,456"
1641,白鳥くるみ / Kurumi Shiratori,,,"2,990","86,719"
1642,バララとカレン,バララとカレン,,"2,990","33,024"
1643,たまごやきになりたかった,,,"2,980","648,425"
1644,黄瀬まこ,Kise Mako Channel,,"2,980","106,890"
1645,桜井ユイ,桜井ユイ/ゆいちゃんねる,,"2,970","108,021"
1646,緋乃あかね,,らいとあっぷ,"2,970","62,875"
1647,白乃クロミ,白乃クロミ channel,AVATAR2.0,"2,970","28,457"
1648,ぴかお,,,"2,960","299,083"
1649,犬望チロル,チロルちゃんねる/犬望チロル,Re:AcT,"2,960","41,470"
1650,yura Ch.遠坂ユラ＠Alt!!,,,"2,960","40,950"
1651,くれみぃー\ kuremyi \鉄道系バーチャルYouTuber,,,"2,950","327,500"
1652,あさひなちゃんねる,,VEEMusic,"2,940","150,126"
1653,ピコのピクセルBOX,,,"2,940","105,545"
1654,フィドロサミル学園,,,"2,930","877,588"
1655,Ne.Mo.42〈凡庸型VTuber〉,,,"2,920","617,614"
1656,RK Music,,WFLE,"2,920","547,858"
1657,ろなちゃんねる,,,"2,920","49,626"
1658,バーチャル劇団まぼろし座Traum,,,"2,920","43,235"
1659,モダンコンバット Versus日本公式チャンネル,,,"2,910","1,126,466"
1660,RistGaming,,,"2,910","834,581"
1661,牛尾ベルちゃんねる,,,"2,910","59,162"
1662,芽森つむぎ / Memori Tsumugi,,Cottage,"2,900","116,053"
1663,ころぼしまう,,ユメノグラフィア,"2,900","25,953"
1664,ぬっきー,,,"2,890","422,582"
1665,Teruaki Tsubokura,,転生組,"2,890","332,819"
1666,畑のVTuber陽菜/Hina Virtual YouTuber on the farm,,,"2,890","88,314"
1667,ちゃんねる🌸ふじの,,,"2,880","60,529"
1668,AVTuber Karin Channel,,,"2,870","98,102"
1669,Yaya Channel 李稍,,IRIAM,"2,870",811
1670,suzuki ryuma,,,"2,860","169,788"
1671,伊達あやの,あやのんチャンネル 【Ayanon Channel】,,"2,860","93,251"
1672,奏音リリィ,,,"2,860","90,954"
1673,粛正罰丸の放課後,,,"2,860","36,440"
1674,Camellia Channel,,,"2,850","429,542"
1675,仄架よみ-43channel,,IRIAM,"2,850","108,735"
1676,早乙女ぽえむ,早乙女ぽえむ/ぽえぽえチャンネル,,"2,850","18,777"
1677,まぁぼ,,,"2,840","2,436,428"
1678,藤納戸めのう,,,"2,840","193,294"
1679,#Range1116,,,"2,830","4,299,643"
1680,鈴鳴れん,,,"2,830","615,038"
1681,メロン型容器に入ったアイス大好きりてちゃんねる,,,"2,830","10,695"
1682,散樂瑞穂組,,,"2,820","2,102,954"
1683,ソルトちゃんねる,,,"2,820","48,236"
1684,ほむしずちゃんねる【おきなわ部】,,,"2,820","11,322"
1685,hananosumire,,,"2,810","214,332"
1686,結城ミチルちゃんねる,,,"2,810","90,311"
1687,ゆったり？まったり？のっびのび放送局☆彡,,,"2,810","56,352"
1688,あにまーれ公式,AniMare Official / あにまーれ公式,あにまーれ,"2,810",0
1689,れみぃちゃんねる,,,"2,800","915,551"
1690,ネムイちゃんねる,,,"2,800","424,298"
1691,姫乃愛琳,姫乃愛琳,IRIAM,"2,800","82,578"
1692,三枝アヤメ,,,"2,800","81,167"
1693,飯田もえぎ!! パワー系ぽっちゃりVTuber,,ズーミング,"2,800","59,758"
1694,星野光ちゃんねる!,,,"2,790","71,435"
1695,イツキオンライン,,,"2,780","246,647"
1696,セリーヌ,ちゃんねるセリーヌ,,"2,780","18,937"
1697,自宅警備隊宅外派遣N.E.E.T,,,"2,770","189,161"
1698,猫小夜くろえ,,,"2,770","136,541"
1699,Funny Animal Videos,,,"2,770","2,810"
1700,こっこさん,,,"2,760","874,103"
1701,けもみん,,,"2,760","411,051"
1702,ジョンソンともゆき,,,"2,760","147,076"
1703,カッパたいちょー,,,"2,760","34,626"
1704,りみむのおもちゃ箱,,,"2,750","236,583"
1705,Deat's virtual escapades,,,"2,750","172,859"
1706,常葉ひより,Hiyori Channel,IRIAM,"2,750","115,530"
1707,あすきんちゃんねる。,,,"2,750","35,493"
1708,ベレッタクロスレイン,BΣretta X' Rain channel,,"2,740","121,257"
1709,苛真千桜【Vtuber】,,,"2,740","23,044"
1710,チンアナゴTV,,,"2,730","1,786,321"
1711,帝国立体研究部,,,"2,730","175,244"
1712,バーチャルバナナ,,,"2,730","52,996"
1713,八木戸マト,,,"2,730","24,267"
1714,オタゴンチャンネル,,,"2,720","1,237,329"
1715,まめぞぅゲーム館,,,"2,720","304,247"
1716,ルカポルカ,,VGeneration,"2,720","69,111"
1717,寧々丸_武装彼女,,武装彼女,"2,720","52,789"
1718,くのいち子V忍者,,,"2,710","160,716"
1719,めるてぃまじっく,,,"2,710","58,746"
1720,茜彩咲(いろさきあかね),彩咲茜,IRIAM,"2,700","45,708"
1721,EIGHT OF TRIANGLE,,,"2,690","822,468"
1722,ことはちゃんねる,,,"2,690","66,095"
1723,むすび二等兵,むすび君 Musubi Kun Channel,,"2,690","45,815"
1724,Dr.マサト 玩具レビュー系vtuber,,,"2,680","452,008"
1725,中部ずい,,,"2,680","152,624"
1726,いくせん,バーチャルアイドル「いくせん」【公式】,,"2,680","141,418"
1727,CoCo Channel,,,"2,680","58,471"
1728,Mone.Channel【水影もね】,,,"2,680","29,871"
1729,【GEPAI Channel】ゲパイちゃんねる,,,"2,680","22,821"
1730,とりくん,,,"2,670","588,751"
1731,MIALチャンネル,,,"2,670","31,252"
1732,京町セイカ,精華町,,"2,670","29,531"
1733,結城なのチャンネル,,,"2,660","1,527,018"
1734,ちゃんねる常磐カナメ,,,"2,660","72,795"
1735,Yamada Konoha/山田コノハ,,,"2,660","63,387"
1736,早瀬やよい,,,"2,660","57,626"
1737,ありしあちゃんねる,,,"2,650","96,195"
1738,香月ネロ_機動演武,,武装彼女,"2,650","78,561"
1739,小柴にぎり,,,"2,650","62,959"
1740,Vian(海外),Vian-tuber,,"2,640","43,615"
1741,黒兎ウル,黒兎ウル kurousagi uru -VIRTUAL-,,"2,640","43,510"
1742,バーチャルチン〇ポッティ,,,"2,630","213,641"
1743,ViANKiE-ヴィアンキィ-,,,"2,630","130,636"
1744,牧之瀬マキノ,,,"2,630","12,533"
1745,Kenのゲーム実況,,,"2,620","903,182"
1746,shirogane moka officialしろモカちゃんねる,,,"2,620","363,835"
1747,今和間田せぃが,今和間田せぃがVTuber,IRIAM,"2,620","143,935"
1748,白花 咲/しらはな通信社,,,"2,620","127,014"
1749,賀茂川ドイル,,,"2,620","94,315"
1750,ココロナキ,,,"2,620","69,382"
1751,白衣少年キキョウ,,,"2,620","23,664"
1752,響夜シビ-KYOUYA SHIB1-,,,"2,610","1,058,396"
1753,來夢めると,來夢めると,ぱりぷろ,"2,610","28,290"
1754,ローゼアトの研究室,,,"2,600","122,488"
1755,小花てくと,,ユメノグラフィア,"2,600","29,233"
1756,吉花こころ,,,"2,600","26,038"
1757,ツッコミ系ゴンくん,,,"2,600","6,394"
1758,YOSHI【バーチャルラッパーYouTuber】,,,"2,590","259,592"
1759,夏日葵奇漾少女,,,"2,590","196,870"
1760,Yurari Channel / 桃乃ゆらり 【あにまーれ】,,,"2,590",0
1761,AZ三日月,,,"2,580","1,691,127"
1762,ピカクロス,,,"2,580","323,554"
1763,空色スカイ,,,"2,580","182,385"
1764,うさ野うさ子,うさ野ちゃんねる,IRIAM,"2,570","34,645"
1765,バーチャルコーヒーユーチューバーモカ,,,"2,570","30,500"
1766,RioRioパラダイスカジノ,,,"2,560","323,678"
1767,くーりのちゃんねる,,,"2,560","116,920"
1768,バーチャルユーチューバー「はがね」のチャンネル,,,"2,550","50,026"
1769,蟒蛇ミキ,おみきチャンネル蟒蛇ミキ,空想コード+,"2,550","32,842"
1770,鶴来つゆ,鶴来つゆ【ぶいらいぶ所属】,ぶいらいぶ,"2,540","149,222"
1771,マイクラ建築 おちびTV OchibiTV,,,"2,540","114,286"
1772,Shio Tatsumi,,,"2,540","29,693"
1773,ねむん,,バ美肉,"2,540","6,012"
1774,ぴんた踊ってみたチャンネル,,,"2,530","453,694"
1775,紅芋さつま 十六穀米子,SatsuMai Channel,,"2,530","193,915"
1776,狐狐音の前*ここね*,,,"2,530","146,323"
1777,ガオン,GAON,NIJISANJI KR,"2,530","32,687"
1778,星乃歌カズ(旧ch),チャンネル移行済み,VEEMusic,"2,530","7,615"
1779,けだまメモch,,,"2,520","251,771"
1780,セナちゃんねる,,,"2,520","175,115"
1781,廻子唯乃,,,"2,520","84,556"
1782,糸巻おり,,元ぴぐまりおん。,"2,520","62,087"
1783,真臣悠香,,,"2,520","54,803"
1784,SLEE公式チャンネル,SLEE OFFICIAL / スリー,,"2,520","42,715"
1785,黒崎紗流,,バ美肉,"2,510","916,733"
1786,のちゃんねる/no-channelとりいP,,,"2,510","317,077"
1787,めんトリチャンネル【MENTORI Channel】,,,"2,510","98,221"
1788,独創少女部隊,,,"2,500","1,254,170"
1789,嘆きのアリア,アリアの嘆きちゃんねる,IRIAM,"2,490","165,346"
1790,野宮のん,,,"2,490","97,840"
1791,ムゲンもっち,,,"2,490","96,107"
1792,秋津ミツバ,Mitsuba Channel-AKIBA official Virtual AI-,,"2,490","42,861"
1793,雪ダルマ系Vtuberで外道なゆっくり白銀雪河,,,"2,490","17,963"
1794,王丸櫻子,,,"2,480","339,328"
1795,デンネート,,,"2,476",0
1796,起業家バーチャルユーチューバー・ゆの公式チャンネル,,,"2,470","633,302"
1797,久方雨,,,"2,470","434,366"
1798,おとりざ〜みらくる☆とりとりっぷ〜,おとりざ〜みらくるとりっぷ〜,元おとりざ,"2,470","43,203"
1799,core mulk,,,"2,460","1,092,563"
1800,雛乃木まや,バーチャル巫女雛乃木まや,,"2,460","160,036"
1801,小鈴(シャオリン),小鈴-xiaoling- 【Date Links!】,Date+Links!,"2,460","105,480"
1802,ぶらっく,,,"2,450","381,376"
1803,るりみゅー【焔魔るりの課外活動】,,,"2,450","144,759"
1804,Syusetu kohaku/秋雪こはく,,,"2,450","52,740"
1805,巳社しらべ,巳社しらべ,,"2,450","23,911"
1806,暇人U新人Vtuber【Vtuber準備中】,,,"2,445","897,300"
1807,自己満組 建設予定地,,,"2,440","3,919,391"
1808,YUGAREY 【知識系VTuber】,,,"2,440","336,912"
1809,Vtuber News報道局,,,"2,440","184,409"
1810,ヱクシーズ project Channel,,,"2,440","62,260"
1811,ぶいすぽ運営,,ぶいすぽっ!,"2,440","18,415"
1812,おぐら,,,"2,430","92,471"
1813,赤星ナナハ,,バ美肉,"2,430","84,332"
1814,サンシャインティア,,,"2,430","64,245"
1815,男鹿なもめ,,,"2,430","35,650"
1816,DRS NISHI,,,"2,420","1,178,153"
1817,奇怪庵主人【妖怪系YouTuber】,,,"2,420","411,902"
1818,Kira Omori,,,"2,420","111,440"
1819,Vsinger musica channel,,,"2,420","77,779"
1820,お嬢様ちゃんねる,,,"2,413","70,944"
1821,GAMEシダ,,,"2,410","591,843"
1822,ちゃんねる如月はる,,,"2,410","183,171"
1823,Dalerpot Extra,,,"2,400","1,375,464"
1824,ジララボ【バーチャルジラフ】,,,"2,400","665,380"
1825,おうかみChannel【Vtuber】Games,,,"2,400","589,623"
1826,あぷのす,,,"2,400","408,917"
1827,音楽少女チャンネル,,,"2,400","80,714"
1828,KatzianXero,,,"2,400","63,600"
1829,禰好亭めてお,,,"2,400","40,723"
1830,ELFI 【OFFICIAL】,,,"2,390","121,742"
1831,虎落ブエ,,,"2,380","70,249"
1832,クイーンハニー,クイーンハニー【VTuber/流星群】,OPEN BETA,"2,380","21,916"
1833,医師カルテカイジ,,,"2,370","420,348"
1834,砂糖.Vtuber.Channel,,,"2,370","355,440"
1835,クマ野クマエル3世,,VGaming,"2,370","181,699"
1836,黄子ちゃん / Kikocyan,,,"2,362","65,980"
1837,그닭장TV - 번치코,,,"2,360","839,572"
1838,浅葱ゆあ,,,"2,360","799,837"
1839,ゆっけチャンネル,,,"2,360","278,624"
1840,霞露凜/Siarurin Ch.【VEgo】,,VEgo,"2,360","66,430"
1841,拝師ねる【ねるるんチャンネル】,,,"2,360","36,864"
1842,紗夏-サーシャ-,,,"2,360","28,538"
1843,ささ,,,"2,350","1,145,568"
1844,邪推系チャンネル,,,"2,340","678,658"
1845,ムラタ,,,"2,340","168,332"
1846,Leia * Virtual Singer *,,,"2,340","77,070"
1847,Kirari Channel,,,"2,340","77,059"
1848,あおりちゃんねる,,,"2,330","443,246"
1849,かおりんご。社畜系Vtuber,,,"2,330","244,355"
1850,仮面チューバー剛,,IRIAM,"2,330","65,708"
1851,甘姫まかろん,,,"2,330","54,542"
1852,バーチャル大物youtuber,,,"2,320","5,262,837"
1853,サイコカス平岡,,,"2,320","1,460,296"
1854,ばんちゃんねる,,,"2,320","339,933"
1855,【公式】HAJITABI ハジタビ,,,"2,320","61,327"
1856,AIris Channel,,,"2,320","47,790"
1857,Japan Lemniscate,,,"2,310","114,738"
1858,夜白藍,,,"2,310","49,538"
1859,ZIZI NAGISA,,,"2,310","33,531"
1860,てとら,,,"2,300","137,560"
1861,綾瀬マリー,綾瀬マリー[勇者ズム!],勇者ズム！,"2,300","62,805"
1862,アマネ・シャーロットamane charlotte,,,"2,300","59,620"
1863,諸星めろこ,,,"2,300","28,047"
1864,癒月うる,,らいとあっぷ,"2,300","12,566"
1865,Nano Games,,,"2,290","116,839"
1866,いけんのか?!真剣MISTちゃんねる,,,"2,290","115,626"
1867,天満ニア,,,"2,290","89,031"
1868,元素学たん,,,"2,290","69,309"
1869,RIA / MUSIC BOX,,,"2,290","33,565"
1870,second tune,,,"2,280","231,565"
1871,たるとみつきの休憩所,,,"2,280","53,836"
1872,アシノ【バーチャルギタリスト】,,,"2,280","52,881"
1873,竜乃ハナビ/Ryuno Hanabi ch.,,,"2,280","51,576"
1874,MikiVtuber,,,"2,280","36,278"
1875,Ozuka Roki Channel尾塚ロキ,,,"2,280","33,803"
1876,ぱすメモ（ぱすてるメモリーズ）公式,,転生組,"2,270","497,376"
1877,カナヲ,,,"2,270","220,314"
1878,猫月みお,,,"2,270","79,499"
1879,紅夜ぺい,,ユメノグラフィア,"2,270","14,793"
1880,桜花神猫 II,,,"2,260","1,586,821"
1881,めっちゃばぶ美,めっちゃばぶ美の政見放送,ジャスト プロ,"2,260","150,017"
1882,ひものげーむず -HimonoGames-,,,"2,260","67,881"
1883,Watching_イノセンス,,,"2,260",0
1884,糜粉棠/みっチャンネル【VEgo所屬家裡蹲】,,VEgo,"2,260",0
1885,まよねーず,,,"2,257","398,210"
1886,ALL(アルル)チャンネル,,,"2,250","534,896"
1887,うどん猫,,,"2,250","152,130"
1888,おり,,,"2,250","63,928"
1889,大河山麻々夜,,,"2,250","42,212"
1890,間倉トキ,,,"2,250","38,498"
1891,沙羽,,,"2,240","59,206"
1892,-Liza Channel-,,,"2,240","49,820"
1893,架空ぶい,,,"2,240","40,571"
1894,小鳥遊名奈,小鳥遊Channel,,"2,240","27,986"
1895,O2PAI Game Channel,,,"2,230","447,850"
1896,ストリーマン ONGOING!,,,"2,230","340,676"
1897,甘楽いざな,,バ美肉,"2,230","241,925"
1898,Hana Channel / 日野ハナ,,,"2,230","95,190"
1899,JJ,JJ channel,,"2,230","67,596"
1900,黄ノ星つくり / Tsukuri Kinohoshi,,ZERO Project,"2,230","45,235"
1901,MitoChannel / 時雨ミト,,,"2,220","207,802"
1902,天見 浩司,,,"2,220","190,473"
1903,仮想娘ぴま,,,"2,220","151,776"
1904,鯖乃いちか,,,"2,220","143,246"
1905,あんさくちゃんねる,,,"2,220","124,190"
1906,金熊鬼奸 / Kaneguma Kiken,,,"2,220","120,374"
1907,ハン・チホ,한치호 /Chiho Han【NIJISANJI KR】,NIJISANJI KR,"2,220","19,806"
1908,惑喰らせつ,,VGeneration,"2,210","58,820"
1909,小鳥遊めとろ,小鳥遊めとろ / Takanashi Metro,,"2,210","40,922"
1910,Enil Channel,,,"2,210","31,797"
1911,ブラッド・エンペラー,,,"2,210","24,153"
1912,兎影めう,,VGaming,"2,210","18,497"
1913,紫雨刹那,,,"2,210","16,617"
1914,julchi,,,"2,200","391,209"
1915,LUMi Official,,,"2,200","125,306"
1916,凪,凪のお社,,"2,200","80,444"
1917,硝子の掃き溜め,,,"2,200","38,216"
1918,クシザキ,,,"2,200","31,648"
1919,碧守キャベツ,,,"2,190","824,862"
1920,いぬじまちゃんねる,,,"2,190","319,840"
1921,Kazumi Ch.,,,"2,190","25,356"
1922,ミッシェル・ロロ・コットン,Michele Rolo Cotton,,"2,180","60,747"
1923,あまちじょんこ,,,"2,180","55,688"
1924,シュティー,,,"2,170","340,477"
1925,amu,,,"2,170","277,762"
1926,《エブリビオン放送軍》レンガ塔男爵,,,"2,170","130,103"
1927,風花りん,,,"2,170","66,527"
1928,玲音-Leon-,,,"2,170","56,150"
1929,채널시하 Channel SeeHa,,,"2,170","52,795"
1930,いっちゃんねる,,,"2,160","105,786"
1931,狼の西村さん,,,"2,160","60,496"
1932,胡蝶由芽 小鳥遊酔,バーチャルFM 【 終末RADIO 】,Akihabara Lab,"2,160","44,891"
1933,るひねちゃんねる,,,"2,160","9,745"
1934,Bird Circus,,,"2,159","17,381"
1935,はりーシ&ぶっちっぱ,,,"2,150","104,487"
1936,ハスタちゃんねるHastur Channel,,,"2,150","67,631"
1937,出雲めぐる,出雲めぐるちゃんねる,Re:AcT,"2,150","21,382"
1938,鳩岡小恋,,ユメノグラフィア,"2,150","12,635"
1939,フェアリィ緑川,,ジャスト プロ,"2,140","181,387"
1940,真島えま,,,"2,140","134,151"
1941,骨魅むくろ,,VGeneration,"2,140","58,225"
1942,ゆき_だるま。,,,"2,130","151,799"
1943,藍兎らび,藍兎らび -Aoto Rabi-,,"2,130","109,584"
1944,LOBOTIX CHANNEL,,,"2,130","91,602"
1945,れべるいち魔王のらのね,,,"2,130","37,830"
1946,KAGAMI,,,"2,130","24,875"
1947,ゆっくり夜桜,,,"2,120","447,550"
1948,ちひろ#話題のあのニュース#,,,"2,120","290,759"
1949,Chrolia Channel【クロリアチャンネル】,,,"2,120","73,476"
1950,陸婉瑩(リク・エンエイ),陸婉瑩 〜リク・エンエイ,WINKS,"2,120","14,753"
1951,カデちゃんねる*,,,"2,110","466,110"
1952,金平あめの自由帳,,,"2,110","88,428"
1953,青猫くう,,,"2,110","31,385"
1954,岩流小次郎,岩流小次郎ch物干し竿系Vtuber,,"2,100","226,850"
1955,くろかわ由理としらかわ由理,,,"2,100","160,018"
1956,バーチャル織神ゆさ,,,"2,100","141,771"
1957,ネギの民筆頭ネギリム,,,"2,100","52,312"
1958,片倉一実,,ユメノグラフィア,"2,100","12,354"
1959,流川ルカ/匠Festival,,,"2,090","71,026"
1960,ひなチャンネル【一年生】,,,"2,090","29,165"
1961,Amyちゃんねる,,,"2,090","27,430"
1962,南テイ,,バ美肉,"2,090","21,969"
1963,Kannaria,,,"2,090","21,082"
1964,桜華かるら,,,"2,080","200,538"
1965,水鞠リヴィ-Mizumari Rivi,,,"2,080","99,588"
1966,ふぅちゃんStudio,,,"2,080","40,780"
1967,育良啓一郎,,,"2,080","36,561"
1968,藍經漁,,,"2,070","1,375,551"
1969,犬丸のぞみ,,,"2,070","247,745"
1970,毘沙門天ゆるいこ,,,"2,070","26,471"
1971,戯嶋サチの探索ch,,,"2,060","77,528"
1972,Vtuber Coroころ調査隊,,,"2,060","75,730"
1973,るーにゃちゃんねる,,,"2,060","29,920"
1974,KATSUKi D,,,"2,060","26,784"
1975,はまの姉妹[hamano-sis],,,"2,050","471,594"
1976,胡蝶ここあ,,,"2,050","175,735"
1977,楠木さらら,,,"2,050","73,107"
1978,Emiko Niwatori Channel,,,"2,050","49,851"
1979,リアラチャンネル,,バ美肉,"2,050","49,140"
1980,Kazune.S《Tkak-Project》,,,"2,050","2,111"
1981,isshow con,,,"2,040","277,294"
1982,神野いんく,いんくちゃんねる,,"2,040","110,524"
1983,夏梅なな(なつめなな),夏梅なな/Nana ch,,"2,040","48,255"
1984,Tau Channel【華 桃兎】,,,"2,040","4,255"
1985,ジンちゃんねる,,,"2,030","543,806"
1986,yui tamaka,,,"2,030","488,280"
1987,四葉うさの,,,"2,030","192,966"
1988,あーるいーじー,,,"2,030","115,112"
1989,ナナメちゃんねる,,,"2,030","106,817"
1990,佐久知恭介/Sakuchi Kyosuke,,,"2,030","87,718"
1991,お茶の間Tボーイズ,,,"2,030","67,505"
1992,未確認チャンネル,,,"2,030","45,184"
1993,クロネコ仮チャンネル,,,"2,030","38,756"
1994,Yuuki Mio Channel/結城澪,,,"2,020","141,925"
1995,クロイベエスバンド,,,"2,020","91,983"
1996,REIA Virtual Channel,,,"2,020","23,746"
1997,巣籠ツル,,,"2,010","41,747"
1998,茸谷きの子,,,"2,010","23,588"
1999,Manji,,,"2,010","15,390"
2000,くろしけちゃんねる,,,"2,010","6,752"
